product_id,month,units_sold,average_price,previous_sales,rolling_sales_3_month,product_category_name,product_weight_g,month_date
2bc88b31190908684ebece09e5358592,2017-07-01,1,199.0,,1.0,cool_stuff,1650.0,2017-07-01
2be2be0a6a5916840503fdf50808ebcb,2018-03-01,1,24.2,,1.0,utilidades_domesticas,600.0,2018-03-01
2bf749803c44ed8670283404d3c2140b,2018-02-01,1,584.4,,,industria_comercio_e_negocios,10750.0,2018-02-01
2bfb0bdbcea77da2879f0ef3be9a219e,2018-04-01,1,697.9,,,consoles_games,900.0,2018-04-01
2c19582c3eea7a6f53a30dbe0a8ffa7e,2018-03-01,1,130.0,,,climatizacao,6300.0,2018-03-01
2c1cc48126c2bdca9e59a300ade4f1c8,2017-09-01,1,69.0,,,brinquedos,600.0,2017-09-01
2c2b1db11f5ec66bbc6ca9d1ce3f81a4,2017-07-01,1,64.9,,,brinquedos,300.0,2017-07-01
2c2b6a28924791234bd386bddb17512e,2017-02-01,1,379.0,,,construcao_ferramentas_seguranca,1008.0,2017-02-01
2c9729f1ad01461013c463866b72509a,2017-10-01,1,168.0,,,relogios_presentes,400.0,2017-10-01
2ccb88cb2c4943230baf9a184b76b76d,2017-02-01,1,59.9,,,beleza_saude,550.0,2017-02-01
2ccd049c8e7ea210e079a1aa8ad92477,2017-08-01,1,69.0,,,papelaria,6900.0,2017-08-01
2cd4861a56a6f98288e0281e47f4b1d5,2017-11-01,1,422.0,,,cama_mesa_banho,6250.0,2017-11-01
2cd4861a56a6f98288e0281e47f4b1d5,2018-02-01,1,422.0,1.0,1.0,cama_mesa_banho,6250.0,2018-02-01
2ced45a3059cbb128a8b8b6508809746,2018-01-01,3,110.0,,1.0,informatica_acessorios,350.0,2018-01-01
2cf9ec82c2ca858baedfb2c2e5c06b6f,2018-01-01,1,9.9,,1.0,utilidades_domesticas,100.0,2018-01-01
2cfd372900c7c65e4c4ed2ccf7a1cfd4,2017-07-01,1,667.0,,,relogios_presentes,550.0,2017-07-01
2d000576ada7098440d09be3e8b6ff5d,2017-08-01,1,18.9,,,informatica_acessorios,700.0,2017-08-01
2d00c3b37b984686777190e2e6e0a7b6,2017-07-01,4,89.9,,,informatica_acessorios,300.0,2017-07-01
